evento_id,tipo,subtipo,calle,lat,lon,timestamp,fecha_evento,hora_evento,fuente,procesado
jam_1744578528000_-34.167596_-70.685612,JAM,,Av. Lo Castillo,-34.167596,-70.685612,1744578528000,2025-04-13T21:08:48Z,21:08:48,scraper,False
jam_1744578543000_-33.413006_-71.154267,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.413006,-71.154267,1744578543000,2025-04-13T21:09:03Z,21:09:03,scraper,False
jam_1744578551000_-33.727433_-70.703425,JAM,JAM_STAND_STILL_TRAFFIC,Ruta 79,-33.727433,-70.703425,1744578551000,2025-04-13T21:09:11Z,21:09:11,scraper,False
jam_1744578668000_-33.524711_-70.600685,JAM,JAM_HEAVY_TRAFFIC,Av. Américo Vespucio,-33.524711,-70.600685,1744578668000,2025-04-13T21:11:08Z,21:11:08,scraper,False
jam_1744578697000_-33.855782_-71.380848,JAM,JAM_HEAVY_TRAFFIC,Ruta G-60,-33.855782,-71.380848,1744578697000,2025-04-13T21:11:37Z,21:11:37,scraper,False
jam_1744578706000_-33.404731_-70.585159,JAM,JAM_HEAVY_TRAFFIC,Alonso de Córdova / Kennedy > Oriente,-33.404731,-70.585159,1744578706000,2025-04-13T21:11:46Z,21:11:46,scraper,False
jam_1744578706000_-33.404997_-70.586263,JAM,JAM_HEAVY_TRAFFIC,Alonso de Córdova / Kennedy > Oriente,-33.404997,-70.586263,1744578706000,2025-04-13T21:11:46Z,21:11:46,scraper,False
jam_1744578718000_-33.471483_-70.624033,JAM,JAM_STAND_STILL_TRAFFIC,Av. Vicuña Mackenna,-33.471483,-70.624033,1744578718000,2025-04-13T21:11:58Z,21:11:58,scraper,False
jam_1744578744000_-33.514246_-70.659541,JAM,JAM_STAND_STILL_TRAFFIC,Av. Lo Ovalle,-33.514246,-70.659541,1744578744000,2025-04-13T21:12:24Z,21:12:24,scraper,False
jam_1744578772000_-33.452173_-70.683607,JAM,JAM_STAND_STILL_TRAFFIC,sin información,-33.452173,-70.683607,1744578772000,2025-04-13T21:12:52Z,21:12:52,scraper,False
jam_1744578792000_-33.451807_-70.631813,JAM,JAM_STAND_STILL_TRAFFIC,Av. 10 de Julio Huamachuco,-33.451807,-70.631813,1744578792000,2025-04-13T21:13:12Z,21:13:12,scraper,False
jam_1744578828000_-33.406926_-71.122523,JAM,,Ruta 68,-33.406926,-71.122523,1744578828000,2025-04-13T21:13:48Z,21:13:48,scraper,False
jam_1744578864000_-33.552688_-70.563919,JAM,,Av. Camilo Henríquez,-33.552688,-70.563919,1744578864000,2025-04-13T21:14:24Z,21:14:24,scraper,False
jam_1744578888000_-32.946088_-70.683417,JAM,JAM_STAND_STILL_TRAFFIC,Ruta 57 CH / Autopista Los Libertadores,-32.946088,-70.683417,1744578888000,2025-04-13T21:14:48Z,21:14:48,scraper,False
jam_1744578903000_-33.613292_-70.888758,JAM,,Luis López Orellana,-33.613292,-70.888758,1744578903000,2025-04-13T21:15:03Z,21:15:03,scraper,False
jam_1744578912000_-33.468939_-70.656201,JAM,,Autopista Central,-33.468939,-70.656201,1744578912000,2025-04-13T21:15:12Z,21:15:12,scraper,False
jam_1744578914000_-33.451403_-70.691946,JAM,JAM_STAND_STILL_TRAFFIC,San Alberto Hurtado,-33.451403,-70.691946,1744578914000,2025-04-13T21:15:14Z,21:15:14,scraper,False
jam_1744578938000_-33.470764_-70.736162,JAM,JAM_STAND_STILL_TRAFFIC,Av. Pajaritos,-33.470764,-70.736162,1744578938000,2025-04-13T21:15:38Z,21:15:38,scraper,False
